contamination,Accuracy,Recall,Precision,False_Alarm_Rate,F_Score
0,0.9027777777777778,1.0,0.9024390243902439,0.9655172413793104,0.9487179487179488
001,0.9097222222222222,1.0,0.9087719298245615,0.896551724137931,0.9522058823529411
002,0.9236111111111112,1.0,0.9217081850533808,0.7586206896551724,0.9592592592592593
003,0.9305555555555556,1.0,0.9283154121863799,0.6896551724137931,0.9628252788104089
004,0.9444444444444444,1.0,0.9418181818181818,0.5517241379310345,0.9700374531835205
005,0.9548611111111112,1.0,0.9522058823529411,0.4482758620689655,0.975517890772128
006,0.9618055555555556,1.0,0.9592592592592593,0.3793103448275862,0.9792060491493384
007,0.9791666666666666,1.0,0.9773584905660377,0.20689655172413793,0.9885496183206107
008,0.9791666666666666,1.0,0.9773584905660377,0.20689655172413793,0.9885496183206107
009,0.9930555555555556,1.0,0.9923371647509579,0.06896551724137931,0.9961538461538463
01,0.9930555555555556,0.9961389961389961,0.9961389961389961,0.034482758620689655,0.9961389961389961
02,0.8993055555555556,0.888030888030888,1.0,0.0,0.9406952965235174
03,0.7986111111111112,0.7760617760617761,1.0,0.0,0.8739130434782608
04,0.7013888888888888,0.667953667953668,1.0,0.0,0.8009259259259259
05,0.6006944444444444,0.555984555984556,1.0,0.0,0.7146401985111662
