nu,Accuracy,Recall,Precision,False_Alarm_Rate,F_Score
001,0.9131944444444444,1.0,0.9119718309859155,0.8620689655172413,0.9539594843462247
002,0.9236111111111112,1.0,0.9217081850533808,0.7586206896551724,0.9592592592592593
003,0.9340277777777778,1.0,0.9316546762589928,0.6551724137931034,0.9646182495344506
004,0.9409722222222222,1.0,0.9384057971014492,0.5862068965517241,0.9682242990654205
005,0.9513888888888888,1.0,0.9487179487179487,0.4827586206896552,0.9736842105263158
006 ,0.9652777777777778,1.0,0.9628252788104089,0.3448275862068966,0.981060606060606
007,0.9722222222222222,1.0,0.9700374531835206,0.27586206896551724,0.9847908745247149
008,0.9826388888888888,1.0,0.9810606060606061,0.1724137931034483,0.9904397705544934
009,0.9895833333333334,1.0,0.9885496183206107,0.10344827586206896,0.9942418426103647
01,0.9895833333333334,0.9961389961389961,0.9923076923076923,0.06896551724137931,0.9942196531791908
