contamination,Accuracy,Recall,Precision,False_Alarm_Rate,F_Score
0,0.9166666666666666,1.0,0.9130434782608695,0.6666666666666666,0.9545454545454545
001,0.9166666666666666,1.0,0.9130434782608695,0.6666666666666666,0.9545454545454545
002,0.9166666666666666,1.0,0.9130434782608695,0.6666666666666666,0.9545454545454545
003,0.9166666666666666,1.0,0.9130434782608695,0.6666666666666666,0.9545454545454545
004,0.9166666666666666,1.0,0.9130434782608695,0.6666666666666666,0.9545454545454545
005,0.9583333333333334,1.0,0.9545454545454546,0.3333333333333333,0.9767441860465117
006,0.9583333333333334,1.0,0.9545454545454546,0.3333333333333333,0.9767441860465117
007,0.9583333333333334,1.0,0.9545454545454546,0.3333333333333333,0.9767441860465117
008,0.9583333333333334,1.0,0.9545454545454546,0.3333333333333333,0.9767441860465117
009,1.0,1.0,1.0,0.0,1.0
01,1.0,1.0,1.0,0.0,1.0
02,0.875,0.8571428571428571,1.0,0.0,0.923076923076923
03,0.7083333333333334,0.6666666666666666,1.0,0.0,0.8
04,0.7083333333333334,0.6666666666666666,1.0,0.0,0.8
05,0.5833333333333334,0.5238095238095238,1.0,0.0,0.6875000000000001
contamination,Accuracy,Recall,Precision,False_Alarm_Rate,F_Score
0,0.9166666666666666,1.0,0.9130434782608695,0.6666666666666666,0.9545454545454545
001,0.9166666666666666,1.0,0.9130434782608695,0.6666666666666666,0.9545454545454545
002,0.9166666666666666,1.0,0.9130434782608695,0.6666666666666666,0.9545454545454545
003,0.9166666666666666,1.0,0.9130434782608695,0.6666666666666666,0.9545454545454545
004,0.9166666666666666,1.0,0.9130434782608695,0.6666666666666666,0.9545454545454545
005,0.9583333333333334,1.0,0.9545454545454546,0.3333333333333333,0.9767441860465117
006,0.9583333333333334,1.0,0.9545454545454546,0.3333333333333333,0.9767441860465117
007,0.9583333333333334,1.0,0.9545454545454546,0.3333333333333333,0.9767441860465117
008,0.9583333333333334,1.0,0.9545454545454546,0.3333333333333333,0.9767441860465117
009,1.0,1.0,1.0,0.0,1.0
01,1.0,1.0,1.0,0.0,1.0
