nu,Accuracy,Recall,Precision,False_Alarm_Rate,F_Score
001,0.875,1.0,0.875,1.0,0.9333333333333333
002,0.875,1.0,0.875,1.0,0.9333333333333333
003,0.875,1.0,0.875,1.0,0.9333333333333333
004,0.875,1.0,0.875,1.0,0.9333333333333333
005,0.875,1.0,0.875,1.0,0.9333333333333333
006 ,0.875,1.0,0.875,1.0,0.9333333333333333
007,0.875,1.0,0.875,1.0,0.9333333333333333
008,0.875,1.0,0.875,1.0,0.9333333333333333
009,0.7916666666666666,0.8095238095238095,0.9444444444444444,0.3333333333333333,0.8717948717948718
01,0.7916666666666666,0.8095238095238095,0.9444444444444444,0.3333333333333333,0.8717948717948718
nu,Accuracy,Recall,Precision,False_Alarm_Rate,F_Score
001,0.875,1.0,0.875,1.0,0.9333333333333333
002,0.875,1.0,0.875,1.0,0.9333333333333333
003,0.875,1.0,0.875,1.0,0.9333333333333333
004,0.875,1.0,0.875,1.0,0.9333333333333333
005,0.875,1.0,0.875,1.0,0.9333333333333333
006 ,0.875,1.0,0.875,1.0,0.9333333333333333
007,0.875,1.0,0.875,1.0,0.9333333333333333
008,0.875,1.0,0.875,1.0,0.9333333333333333
009,0.7916666666666666,0.8095238095238095,0.9444444444444444,0.3333333333333333,0.8717948717948718
01,0.7916666666666666,0.8095238095238095,0.9444444444444444,0.3333333333333333,0.8717948717948718
nu,Accuracy,Recall,Precision,False_Alarm_Rate,F_Score
001,0.875,1.0,0.875,1.0,0.9333333333333333
002,0.875,1.0,0.875,1.0,0.9333333333333333
003,0.875,1.0,0.875,1.0,0.9333333333333333
004,0.875,1.0,0.875,1.0,0.9333333333333333
005,0.875,1.0,0.875,1.0,0.9333333333333333
006 ,0.875,1.0,0.875,1.0,0.9333333333333333
007,0.875,1.0,0.875,1.0,0.9333333333333333
008,0.875,1.0,0.875,1.0,0.9333333333333333
009,0.7916666666666666,0.8095238095238095,0.9444444444444444,0.3333333333333333,0.8717948717948718
01,0.7916666666666666,0.8095238095238095,0.9444444444444444,0.3333333333333333,0.8717948717948718
nu,Accuracy,Recall,Precision,False_Alarm_Rate,F_Score
001,0.875,1.0,0.875,1.0,0.9333333333333333
002,0.875,1.0,0.875,1.0,0.9333333333333333
003,0.875,1.0,0.875,1.0,0.9333333333333333
004,0.875,1.0,0.875,1.0,0.9333333333333333
005,0.875,1.0,0.875,1.0,0.9333333333333333
006 ,0.875,1.0,0.875,1.0,0.9333333333333333
007,0.875,1.0,0.875,1.0,0.9333333333333333
008,0.875,1.0,0.875,1.0,0.9333333333333333
009,0.7916666666666666,0.8095238095238095,0.9444444444444444,0.3333333333333333,0.8717948717948718
01,0.7916666666666666,0.8095238095238095,0.9444444444444444,0.3333333333333333,0.8717948717948718
nu,Accuracy,Recall,Precision,False_Alarm_Rate,F_Score
001,0.875,1.0,0.875,1.0,0.9333333333333333
002,0.875,1.0,0.875,1.0,0.9333333333333333
003,0.875,1.0,0.875,1.0,0.9333333333333333
004,0.875,1.0,0.875,1.0,0.9333333333333333
005,0.875,1.0,0.875,1.0,0.9333333333333333
006 ,0.875,1.0,0.875,1.0,0.9333333333333333
007,0.875,1.0,0.875,1.0,0.9333333333333333
008,0.875,1.0,0.875,1.0,0.9333333333333333
009,0.7916666666666666,0.8095238095238095,0.9444444444444444,0.3333333333333333,0.8717948717948718
01,0.7916666666666666,0.8095238095238095,0.9444444444444444,0.3333333333333333,0.8717948717948718
