nu,Accuracy,Recall,Precision,False_Alarm_Rate,F_Score
001,0.9594798508787502,1.0,0.9591316025067144,0.8262443438914027,0.9791395343523659
002,0.9733268240724303,1.0,0.9727165425821681,0.5438914027149321,0.9861696007363939
003,0.9837564352920292,1.0,0.9832056164823567,0.33122171945701356,0.9915316982878297
004,0.9946298597550151,1.0,0.994384629664006,0.10950226244343891,0.9971844095404305
005,0.9947630037280313,0.996779763849349,0.99771102910263,0.044343891402714934,0.9972451790633607
006 ,0.987706373158175,0.9878191067344939,0.9992446416768955,0.014479638009049774,0.9934990260273652
007,0.9788744896147701,0.9777850375694218,1.0,0.0,0.988767756854972
008,0.9688443103142198,0.9672375974238111,1.0,0.0,0.9833459859555892
009,0.959036037635363,0.9569235077238998,1.0,0.0,0.9779876463714198
01,0.9488727143617965,0.9462360573108695,1.0,0.0,0.9723754256390581
